 Energia (KeV)            Area (m^2) 
       1.79505      12.8419
       1.80081      12.8315
       1.80659      12.8210
       1.81239      12.8104
       1.81820      12.7998
       1.82404      12.7893
       1.82989      12.7790
       1.83576      12.7687
       1.84165      12.7584
       1.84756      12.7480
       1.85349      12.7361
       1.85944      12.7188
       1.86540      12.7014
       1.87139      12.6836
       1.87740      12.6657
       1.88342      12.6477
       1.88946      12.6296
       1.89553      12.6114
       1.90161      12.5929
       1.90771      12.5742
       1.91383      12.5603
       1.91998      12.5509
       1.92614      12.5416
       1.93232      12.5322
       1.93852      12.5229
       1.94474      12.5104
       1.95098      12.4948
       1.95724      12.4791
       1.96352      12.4633
       1.96982      12.4473
       1.97614      12.4278
       1.98248      12.4049
       1.98885      12.3815
       1.99523      12.3579
       2.00163      12.3338
       2.00805      12.3090
       2.01450      12.2832
       2.02096      12.2570
       2.02745      12.2304
       2.03395      12.2033
       2.04048      12.1760
       2.04703      12.1496
       2.05360      12.1212
       2.06019      12.0910
       2.06680      12.0605
       2.07343      12.0276
       2.08008      11.9924
       2.08676      11.9573
       2.09346      11.9196
       2.10017      11.8795
       2.10691      11.8376
       2.11367      11.7923
       2.12046      11.7436
       2.12726      11.6924
       2.13409      11.6367
       2.14094      11.5769
       2.14780      11.5118
       2.15470      11.4356
       2.16161      11.3529
       2.16855      11.2677
       2.17551      11.1681
       2.18249      11.0582
       2.18949      10.9297
       2.19652      10.7689
       2.20357      10.5510
       2.21064      10.1848
       2.21773      9.64222
       2.22485      8.93659
       2.23199      7.98697
       2.23915      6.94392
       2.24633      6.37099
       2.25354      6.31899
       2.26078      6.39263
       2.26803      6.33860
       2.27531      6.40031
       2.28261      6.32273
       2.28993      6.42553
       2.29728      6.41568
       2.30466      6.26325
       2.31205      6.05792
       2.31947      5.71172
       2.32691      5.43640
       2.33438      5.39776
       2.34187      5.52533
       2.34939      5.63026
       2.35692      5.70330
       2.36449      5.72718
       2.37208      5.82911
       2.37969      5.97706
       2.38732      6.01233
       2.39498      6.04270
       2.40267      6.08179
       2.41038      6.13836
       2.41811      6.19208
       2.42587      6.26309
       2.43366      6.31798
       2.44147      6.34305
       2.44930      6.34920
       2.45716      6.36261
       2.46505      6.39513
       2.47296      6.42886
       2.48089      6.44933
       2.48886      6.49266
       2.49684      6.53273
       2.50485      6.56435
       2.51289      6.58199
       2.52096      6.58308
       2.52904      6.57887
       2.53716      6.58926
       2.54530      6.61347
       2.55347      6.64283
       2.56166      6.66896
       2.56989      6.68936
       2.57813      6.70766
       2.58640      6.71995
       2.59470      6.72001
       2.60303      6.71461
       2.61138      6.71539
       2.61976      6.72314
       2.62817      6.72859
       2.63660      6.66285
       2.64506      6.63243
       2.65355      6.64644
       2.66207      6.66761
       2.67061      6.67637
       2.67918      6.66911
       2.68778      6.65739
       2.69640      6.63901
       2.70505      6.61957
       2.71374      6.59268
       2.72244      6.54602
       2.73118      6.46480
       2.73994      6.24774
       2.74874      6.04059
       2.75756      6.13784
       2.76641      6.16233
       2.77528      6.22587
       2.78419      6.28033
       2.79312      6.28881
       2.80209      6.34894
       2.81108      6.39115
       2.82010      6.41152
       2.82915      6.40868
       2.83823      6.41120
       2.84733      6.41315
       2.85647      6.43673
       2.86564      6.46983
       2.87483      6.49569
       2.88406      6.51499
       2.89331      6.53057
       2.90260      6.53890
       2.91191      6.54824
       2.92126      6.56096
       2.93063      6.57418
       2.94004      6.59019
       2.94947      6.60663
       2.95894      6.61718
       2.96843      6.62770
       2.97796      6.63377
       2.98751      6.63912
       2.99710      6.64713
       3.00672      6.65632
       3.01636      6.66452
       3.02604      6.67238
       3.03575      6.67660
       3.04550      6.67827
       3.05527      6.68019
       3.06507      6.68229
       3.07491      6.68503
       3.08478      6.68843
       3.09468      6.68981
       3.10461      6.68882
       3.11457      6.68380
       3.12456      6.67389
       3.13459      6.65888
       3.14465      6.63766
       3.15474      6.60524
       3.16486      6.56012
       3.17502      6.52538
